ď»ż"RouterIP","Labels","Community","IfIndex","IfName","IfDescr","IfSpeed","RxOID","TxOID","SpeedOID","OperStatusOID","AdminStatusOID","Source"
"10.88.88.111","FastWeb-1, FastWeb-2, Dalla","public","1","lo","lo","0","1.3.6.1.2.1.31.1.1.1.6.1","1.3.6.1.2.1.31.1.1.1.10.1","1.3.6.1.2.1.31.1.1.1.15.1","1.3.6.1.2.1.2.2.1.8.1","1.3.6.1.2.1.2.2.1.7.1","/api/interfaces"
"10.88.88.111","FastWeb-1, FastWeb-2, Dalla","public","2","ether2","ether2","1000000000","1.3.6.1.2.1.31.1.1.1.6.2","1.3.6.1.2.1.31.1.1.1.10.2","1.3.6.1.2.1.31.1.1.1.15.2","1.3.6.1.2.1.2.2.1.8.2","1.3.6.1.2.1.2.2.1.7.2","/api/interfaces"
"10.88.88.111","FastWeb-1, FastWeb-2, Dalla","public","3","ether3","ether3","1000000000","1.3.6.1.2.1.31.1.1.1.6.3","1.3.6.1.2.1.31.1.1.1.10.3","1.3.6.1.2.1.31.1.1.1.15.3","1.3.6.1.2.1.2.2.1.8.3","1.3.6.1.2.1.2.2.1.7.3","/api/interfaces"
"10.88.88.111","FastWeb-1, FastWeb-2, Dalla","public","4","ether4","ether4","1000000000","1.3.6.1.2.1.31.1.1.1.6.4","1.3.6.1.2.1.31.1.1.1.10.4","1.3.6.1.2.1.31.1.1.1.15.4","1.3.6.1.2.1.2.2.1.8.4","1.3.6.1.2.1.2.2.1.7.4","/api/interfaces"
"10.88.88.111","FastWeb-1, FastWeb-2, Dalla","public","5","ether5","ether5","100000000","1.3.6.1.2.1.31.1.1.1.6.5","1.3.6.1.2.1.31.1.1.1.10.5","1.3.6.1.2.1.31.1.1.1.15.5","1.3.6.1.2.1.2.2.1.8.5","1.3.6.1.2.1.2.2.1.7.5","/api/interfaces"
"10.88.88.111","FastWeb-1, FastWeb-2, Dalla","public","6","ether1","ether1","100000000","1.3.6.1.2.1.31.1.1.1.6.6","1.3.6.1.2.1.31.1.1.1.10.6","1.3.6.1.2.1.31.1.1.1.15.6","1.3.6.1.2.1.2.2.1.8.6","1.3.6.1.2.1.2.2.1.7.6","/api/interfaces"
"10.88.88.111","FastWeb-1, FastWeb-2, Dalla","public","7","sfp1","sfp1","1000000000","1.3.6.1.2.1.31.1.1.1.6.7","1.3.6.1.2.1.31.1.1.1.10.7","1.3.6.1.2.1.31.1.1.1.15.7","1.3.6.1.2.1.2.2.1.8.7","1.3.6.1.2.1.2.2.1.7.7","/api/interfaces"
"10.88.88.111","FastWeb-1, FastWeb-2, Dalla","public","8","bridge","bridge","0","1.3.6.1.2.1.31.1.1.1.6.8","1.3.6.1.2.1.31.1.1.1.10.8","1.3.6.1.2.1.31.1.1.1.15.8","1.3.6.1.2.1.2.2.1.8.8","1.3.6.1.2.1.2.2.1.7.8","/api/interfaces"
"88.88.88.10","C5C","public","1","lo","lo","0","1.3.6.1.2.1.31.1.1.1.6.1","1.3.6.1.2.1.31.1.1.1.10.1","1.3.6.1.2.1.31.1.1.1.15.1","1.3.6.1.2.1.2.2.1.8.1","1.3.6.1.2.1.2.2.1.7.1","/api/interfaces"
"88.88.88.10","C5C","public","2","ether1","ether1","100000000","1.3.6.1.2.1.31.1.1.1.6.2","1.3.6.1.2.1.31.1.1.1.10.2","1.3.6.1.2.1.31.1.1.1.15.2","1.3.6.1.2.1.2.2.1.8.2","1.3.6.1.2.1.2.2.1.7.2","/api/interfaces"
"88.88.88.10","C5C","public","3","ether2","ether2","0","1.3.6.1.2.1.31.1.1.1.6.3","1.3.6.1.2.1.31.1.1.1.10.3","1.3.6.1.2.1.31.1.1.1.15.3","1.3.6.1.2.1.2.2.1.8.3","1.3.6.1.2.1.2.2.1.7.3","/api/interfaces"
"88.88.88.10","C5C","public","4","ether3","ether3","0","1.3.6.1.2.1.31.1.1.1.6.4","1.3.6.1.2.1.31.1.1.1.10.4","1.3.6.1.2.1.31.1.1.1.15.4","1.3.6.1.2.1.2.2.1.8.4","1.3.6.1.2.1.2.2.1.7.4","/api/interfaces"
"88.88.88.10","C5C","public","5","ether4","ether4","1000000000","1.3.6.1.2.1.31.1.1.1.6.5","1.3.6.1.2.1.31.1.1.1.10.5","1.3.6.1.2.1.31.1.1.1.15.5","1.3.6.1.2.1.2.2.1.8.5","1.3.6.1.2.1.2.2.1.7.5","/api/interfaces"
"88.88.88.10","C5C","public","6","ether5","ether5","1000000000","1.3.6.1.2.1.31.1.1.1.6.6","1.3.6.1.2.1.31.1.1.1.10.6","1.3.6.1.2.1.31.1.1.1.15.6","1.3.6.1.2.1.2.2.1.8.6","1.3.6.1.2.1.2.2.1.7.6","/api/interfaces"
"88.88.88.10","C5C","public","7","bridge","bridge","0","1.3.6.1.2.1.31.1.1.1.6.7","1.3.6.1.2.1.31.1.1.1.10.7","1.3.6.1.2.1.31.1.1.1.15.7","1.3.6.1.2.1.2.2.1.8.7","1.3.6.1.2.1.2.2.1.7.7","/api/interfaces"
"88.88.88.15","Davo","public","1","lo","lo","0","1.3.6.1.2.1.31.1.1.1.6.1","1.3.6.1.2.1.31.1.1.1.10.1","1.3.6.1.2.1.31.1.1.1.15.1","1.3.6.1.2.1.2.2.1.8.1","1.3.6.1.2.1.2.2.1.7.1","/api/interfaces"
"88.88.88.15","Davo","public","2","ether1","ether1","0","1.3.6.1.2.1.31.1.1.1.6.2","1.3.6.1.2.1.31.1.1.1.10.2","1.3.6.1.2.1.31.1.1.1.15.2","1.3.6.1.2.1.2.2.1.8.2","1.3.6.1.2.1.2.2.1.7.2","/api/interfaces"
"88.88.88.15","Davo","public","3","ether2","ether2","1000000000","1.3.6.1.2.1.31.1.1.1.6.3","1.3.6.1.2.1.31.1.1.1.10.3","1.3.6.1.2.1.31.1.1.1.15.3","1.3.6.1.2.1.2.2.1.8.3","1.3.6.1.2.1.2.2.1.7.3","/api/interfaces"
"88.88.88.15","Davo","public","4","ether3","ether3","100000000","1.3.6.1.2.1.31.1.1.1.6.4","1.3.6.1.2.1.31.1.1.1.10.4","1.3.6.1.2.1.31.1.1.1.15.4","1.3.6.1.2.1.2.2.1.8.4","1.3.6.1.2.1.2.2.1.7.4","/api/interfaces"
"88.88.88.15","Davo","public","5","ether4","ether4","1000000000","1.3.6.1.2.1.31.1.1.1.6.5","1.3.6.1.2.1.31.1.1.1.10.5","1.3.6.1.2.1.31.1.1.1.15.5","1.3.6.1.2.1.2.2.1.8.5","1.3.6.1.2.1.2.2.1.7.5","/api/interfaces"
"88.88.88.15","Davo","public","6","ether5","ether5","0","1.3.6.1.2.1.31.1.1.1.6.6","1.3.6.1.2.1.31.1.1.1.10.6","1.3.6.1.2.1.31.1.1.1.15.6","1.3.6.1.2.1.2.2.1.8.6","1.3.6.1.2.1.2.2.1.7.6","/api/interfaces"
"88.88.88.15","Davo","public","7","bridge","bridge","0","1.3.6.1.2.1.31.1.1.1.6.7","1.3.6.1.2.1.31.1.1.1.10.7","1.3.6.1.2.1.31.1.1.1.15.7","1.3.6.1.2.1.2.2.1.8.7","1.3.6.1.2.1.2.2.1.7.7","/api/interfaces"
"88.88.88.4","Redwan","public","1","lo","lo","0","1.3.6.1.2.1.31.1.1.1.6.1","1.3.6.1.2.1.31.1.1.1.10.1","1.3.6.1.2.1.31.1.1.1.15.1","1.3.6.1.2.1.2.2.1.8.1","1.3.6.1.2.1.2.2.1.7.1","/api/interfaces"
"88.88.88.4","Redwan","public","2","ether1","ether1","1000000000","1.3.6.1.2.1.31.1.1.1.6.2","1.3.6.1.2.1.31.1.1.1.10.2","1.3.6.1.2.1.31.1.1.1.15.2","1.3.6.1.2.1.2.2.1.8.2","1.3.6.1.2.1.2.2.1.7.2","/api/interfaces"
"88.88.88.4","Redwan","public","3","ether2","ether2","1000000000","1.3.6.1.2.1.31.1.1.1.6.3","1.3.6.1.2.1.31.1.1.1.10.3","1.3.6.1.2.1.31.1.1.1.15.3","1.3.6.1.2.1.2.2.1.8.3","1.3.6.1.2.1.2.2.1.7.3","/api/interfaces"
"88.88.88.4","Redwan","public","4","ether3","ether3","1000000000","1.3.6.1.2.1.31.1.1.1.6.4","1.3.6.1.2.1.31.1.1.1.10.4","1.3.6.1.2.1.31.1.1.1.15.4","1.3.6.1.2.1.2.2.1.8.4","1.3.6.1.2.1.2.2.1.7.4","/api/interfaces"
"88.88.88.4","Redwan","public","5","ether4","ether4","100000000","1.3.6.1.2.1.31.1.1.1.6.5","1.3.6.1.2.1.31.1.1.1.10.5","1.3.6.1.2.1.31.1.1.1.15.5","1.3.6.1.2.1.2.2.1.8.5","1.3.6.1.2.1.2.2.1.7.5","/api/interfaces"
"88.88.88.4","Redwan","public","6","ether5","ether5","0","1.3.6.1.2.1.31.1.1.1.6.6","1.3.6.1.2.1.31.1.1.1.10.6","1.3.6.1.2.1.31.1.1.1.15.6","1.3.6.1.2.1.2.2.1.8.6","1.3.6.1.2.1.2.2.1.7.6","/api/interfaces"
"88.88.88.4","Redwan","public","7","bridge","bridge","0","1.3.6.1.2.1.31.1.1.1.6.7","1.3.6.1.2.1.31.1.1.1.10.7","1.3.6.1.2.1.31.1.1.1.15.7","1.3.6.1.2.1.2.2.1.8.7","1.3.6.1.2.1.2.2.1.7.7","/api/interfaces"
"88.88.88.5","Fadel Center","public","1","lo","lo","0","1.3.6.1.2.1.31.1.1.1.6.1","1.3.6.1.2.1.31.1.1.1.10.1","1.3.6.1.2.1.31.1.1.1.15.1","1.3.6.1.2.1.2.2.1.8.1","1.3.6.1.2.1.2.2.1.7.1","/api/interfaces"
"88.88.88.5","Fadel Center","public","2","ether1 ","ether1 ","1000000000","1.3.6.1.2.1.31.1.1.1.6.2","1.3.6.1.2.1.31.1.1.1.10.2","1.3.6.1.2.1.31.1.1.1.15.2","1.3.6.1.2.1.2.2.1.8.2","1.3.6.1.2.1.2.2.1.7.2","/api/interfaces"
"88.88.88.5","Fadel Center","public","3","ether2","ether2","0","1.3.6.1.2.1.31.1.1.1.6.3","1.3.6.1.2.1.31.1.1.1.10.3","1.3.6.1.2.1.31.1.1.1.15.3","1.3.6.1.2.1.2.2.1.8.3","1.3.6.1.2.1.2.2.1.7.3","/api/interfaces"
"88.88.88.5","Fadel Center","public","4","ether3","ether3","1000000000","1.3.6.1.2.1.31.1.1.1.6.4","1.3.6.1.2.1.31.1.1.1.10.4","1.3.6.1.2.1.31.1.1.1.15.4","1.3.6.1.2.1.2.2.1.8.4","1.3.6.1.2.1.2.2.1.7.4","/api/interfaces"
"88.88.88.5","Fadel Center","public","5","ether4 ","ether4 ","100000000","1.3.6.1.2.1.31.1.1.1.6.5","1.3.6.1.2.1.31.1.1.1.10.5","1.3.6.1.2.1.31.1.1.1.15.5","1.3.6.1.2.1.2.2.1.8.5","1.3.6.1.2.1.2.2.1.7.5","/api/interfaces"
"88.88.88.5","Fadel Center","public","6","ether5","ether5","0","1.3.6.1.2.1.31.1.1.1.6.6","1.3.6.1.2.1.31.1.1.1.10.6","1.3.6.1.2.1.31.1.1.1.15.6","1.3.6.1.2.1.2.2.1.8.6","1.3.6.1.2.1.2.2.1.7.6","/api/interfaces"
"88.88.88.5","Fadel Center","public","7","bridge","bridge","0","1.3.6.1.2.1.31.1.1.1.6.7","1.3.6.1.2.1.31.1.1.1.10.7","1.3.6.1.2.1.31.1.1.1.15.7","1.3.6.1.2.1.2.2.1.8.7","1.3.6.1.2.1.2.2.1.7.7","/api/interfaces"
"88.88.88.9","Pharmacy","public","1","lo","lo","0","1.3.6.1.2.1.31.1.1.1.6.1","1.3.6.1.2.1.31.1.1.1.10.1","1.3.6.1.2.1.31.1.1.1.15.1","1.3.6.1.2.1.2.2.1.8.1","1.3.6.1.2.1.2.2.1.7.1","/api/interfaces"
"88.88.88.9","Pharmacy","public","2","ether1","ether1","0","1.3.6.1.2.1.31.1.1.1.6.2","1.3.6.1.2.1.31.1.1.1.10.2","1.3.6.1.2.1.31.1.1.1.15.2","1.3.6.1.2.1.2.2.1.8.2","1.3.6.1.2.1.2.2.1.7.2","/api/interfaces"
"88.88.88.9","Pharmacy","public","3","ether2","ether2","0","1.3.6.1.2.1.31.1.1.1.6.3","1.3.6.1.2.1.31.1.1.1.10.3","1.3.6.1.2.1.31.1.1.1.15.3","1.3.6.1.2.1.2.2.1.8.3","1.3.6.1.2.1.2.2.1.7.3","/api/interfaces"
"88.88.88.9","Pharmacy","public","4","ether3","ether3","100000000","1.3.6.1.2.1.31.1.1.1.6.4","1.3.6.1.2.1.31.1.1.1.10.4","1.3.6.1.2.1.31.1.1.1.15.4","1.3.6.1.2.1.2.2.1.8.4","1.3.6.1.2.1.2.2.1.7.4","/api/interfaces"
"88.88.88.9","Pharmacy","public","5","ether4","ether4","1000000000","1.3.6.1.2.1.31.1.1.1.6.5","1.3.6.1.2.1.31.1.1.1.10.5","1.3.6.1.2.1.31.1.1.1.15.5","1.3.6.1.2.1.2.2.1.8.5","1.3.6.1.2.1.2.2.1.7.5","/api/interfaces"
"88.88.88.9","Pharmacy","public","6","ether5","ether5","1000000000","1.3.6.1.2.1.31.1.1.1.6.6","1.3.6.1.2.1.31.1.1.1.10.6","1.3.6.1.2.1.31.1.1.1.15.6","1.3.6.1.2.1.2.2.1.8.6","1.3.6.1.2.1.2.2.1.7.6","/api/interfaces"
